filename,shot_number,media_type,day,duration_sec,start_time,end_time,ai_score,location_human,action_human,key_tags,story_description,llm_summary,notes_human,language,enriched_by,enriched_on,status,camera_movement,shot_type,lighting,audio_notes,emotion_to_highlight,detailed_enrichment,tech_meta,shot_datetime_local,duration_sec_rounded,auto_summary,enrichment_input_raw,trip_id,day_id,clip_id,gcs_uri,place_city,place_country,time_of_day,day_segment,crowd_level,people,mood,shot_by
IMG_9267.MOV,,video,day-01,13.280362,0s,13.280362s,,"Hanoi International Airport, ground-floor lower deck",tourists exit and cross to shuttle bus,"Hanoi International Airport, tourists, zebra crossing, shuttle bus, taxis, pan, wide, daylight",Tourists exit the Hanoi International Airport and cross the road using a zebra crossing. They board a green electric shuttle bus headed to the domestic terminal while taxis wait nearby.,Tourists leave Hanoi International Airport and board a shuttle bus.,"This clip is shot by Divya and the camera pans from left to right covering a scene where tourists are coming out of International Hanoi Airport, seems to be the lower deck of the ground floor. 

Tourists are coming out of the gate, crossing the road through a zebra crossing to get on to the adjacent airport road where a green electric free bus shuttle is waiting. Some tourists boarded to go to the domestic terminal, and various taxis are also standing on the road to take tourists within the city.",,Vipin,2025-08-11 17:58:17,enriched,pan,wide,daylight,"ambience of airport, distant chatter",anticipation,"The scene captures tourists exiting the International Hanoi Airport on the lower deck of the ground floor. The camera pans from left to right, showing tourists crossing a zebra crossing to reach a green electric shuttle bus. Some tourists board the bus to the domestic terminal, while taxis wait to transport others into the city.","{""file_size_bytes"": 42348860, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 13.2983333333333, ""creation_time"": ""2025:08:01 06:01:50"", ""encoder"": ""17.6.1""}",2025-08-01 06:01:50,13,"Shot on 01 Aug 2025, 06:01 AM • 13.28s • pan, wide, daylight • faces: 0
Scene: Hanoi International Airport, ground-floor lower deck.","This clip is shot by Divya and the camera pans from left to right covering a scene where tourists are coming out of International Hanoi Airport, seems to be the lower deck of the ground floor. 

Tourists are coming out of the gate, crossing the road through a zebra crossing to get on to the adjacent airport road where a green electric free bus shuttle is waiting. Some tourists boarded to go to the domestic terminal, and various taxis are also standing on the road to take tourists within the city.",Vietnam_01,D01,Vietnam_01_D01_0001,,hanoi,vietnam,,,low,tourists,busy,Divya
IMG_9269.MOV,,video,day-01,3.066666,0s,3.066666s,0.97699463,"Hanoi international airport, domestic terminal bus stop",camera pans across bus stop with local bus,"Hanoi, airport, bus stop, local bus, domestic terminal, travel, pan, wide","At the domestic terminal bus stop of Hanoi international airport, a local bus is stationed. Travelers are transitioning from the international terminal to catch this affordable bus to Ninh Binh.",A local bus is stationed at the domestic terminal bus stop of Hanoi airport.,"This clip is shot by Divya, and the camera is moving from right to left. It's the bus stop next to the domestic terminal, international Hanoi airport, a local bus is standing on the bus station. we came here through green shuttle bus from international departure to domestic terminal to catch this bus. This bus is very affordable and it would take us to Ninh Binh in Vietnam which is our first destination after landing here in Hanoi.",,Vipin,2025-08-12 05:08:12,enriched,pan,wide,daylight,ambient airport sounds,anticipation,"The clip, shot by Divya, captures the bus stop next to the domestic terminal at Hanoi international airport. The camera pans from right to left, showing a local bus at the station. Travelers have arrived via a green shuttle bus from the international terminal to catch this affordable bus to Ninh Binh, their first destination in Vietnam.","{""file_size_bytes"": 10766671, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 3.1, ""creation_time"": ""2025:08:01 06:02:07"", ""encoder"": ""17.6.1""}",2025-08-01 06:02:07,3,"Shot on 01 Aug 2025, 06:02 AM • 3.07s • pan, wide, daylight • faces: 0
Scene: Hanoi international airport, ground-floor lower deck. Tags: bus, motor vehicle. Objects: car, car. OCR: “ΑΝΗ, CÁM ZZZI IZZIV ANHK 002.20 - 05/202…”","This clip is shot by Divya, and the camera is moving from right to left. It's the bus stop next to the domestic terminal, international Hanoi airport, a local bus is standing on the bus station. we came here through green shuttle bus from international departure to domestic terminal to catch this bus. This bus is very affordable and it would take us to Ninh Binh in Vietnam which is our first destination after landing here in Hanoi.",Vietnam_01,D01,Vietnam_01_D01_0002,,hanoi,vietnam,,,low,travelers,busy,Divya
IMG_9279.MOV,,video,day-01,14.533333,0s,14.533333s,0.992497,"Ninh Binh, concrete path",Vipin rides a bike with Divya as pillion,"Ninh Binh, bike, paddy fields, river stream, limestone mountains, concrete path, wind noise","Divya is riding as a pillion on a bike driven by Vipin along a narrow concrete path in Ninh Binh. The path is flanked by paddy fields and a small river stream, with limestone mountains visible in the distance. The weather is cool and pleasant.",Divya and Vipin ride a bike through Ninh Binh's scenic landscape.,"This clip is shot by Divya. Divya is sitting as a pillion to Vipin. Vipin is riding the local black color bike/scooty and he is driving on a very small concrete path. On which left side is the rice fields, paddy fields, and right side also paddy fields along with the small river stream. Towards the left after the paddy fields are limestone mountains. This scene is in Ninh Binh. So camera movement is not that smooth, camera is moving from right to left, then from left to right, and then again from right to left, and then it captures the road for 3-4 seconds. Three-four second of clip can be used in any reel. The weather is pleasant with some clouds on the sky and sound of the clip is very noisy because of the wind blowing. It is a very cool and pleasant weather.",,Vipin,2025-08-12 05:13:47,enriched,handheld,tracking,daylight,wind noise,serenity,"The clip captures Divya sitting as a pillion on a bike driven by Vipin along a narrow concrete path in Ninh Binh. The path is bordered by lush paddy fields and a small river stream, with limestone mountains in the background. The camera moves from right to left and back, capturing the scenic surroundings. The weather is pleasant with some clouds, and the audio is dominated by wind noise.","{""file_size_bytes"": 46191622, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 14.565, ""creation_time"": ""2025:08:01 06:02:15"", ""encoder"": ""17.6.1""}",2025-08-01 06:02:15,15,"Shot on 01 Aug 2025, 06:02 AM • 14.53s • faces: 0
Tags: asphalt, nature. Objects: helmet, person.","This clip is shot by Divya. Divya is sitting as a pillion to Vipin. Vipin is riding the local black color bike/scooty and he is driving on a very small concrete path. On which left side is the rice fields, paddy fields, and right side also paddy fields along with the small river stream. Towards the left after the paddy fields are limestone mountains. This scene is in Ninh Binh. So camera movement is not that smooth, camera is moving from right to left, then from left to right, and then again from right to left, and then it captures the road for 3-4 seconds. Three-four second of clip can be used in any reel. The weather is pleasant with some clouds on the sky and sound of the clip is very noisy because of the wind blowing. It is a very cool and pleasant weather.",Vietnam_01,D01,Vietnam_01_D01_0003,,ninh binh,vietnam,,,low,Divya; Vipin,,Divya
IMG_9280.MOV,,video,day-01,7.841166,0s,7.841166s,0.8101722,"narrow concrete road with paddy fields, Vietnam",Vipin rides a bike while Divya captures the scenery,"Vietnam, bike, paddy fields, river stream, locals, concrete road, Divya, Vipin","Divya, sitting as a pillion to Vipin, captures the scenic view while riding on a narrow concrete road in Vietnam. Paddy fields stretch on both sides, with a small river stream flowing nearby. Locals are seen working in the fields as Divya pans the camera to capture the full view.","Divya captures the scenic view from a bike ride in Vietnam, showcasing paddy fields and a river stream.","This clip is captured by Divya who is sitting as a pillion to Vipin. Vipin is riding a Vietnam local bike and he is wearing a khaki colour jacket and a dark blue helmet at the back of which is written Honda. Divya is capturing towards the right side of Vipin riding on a narrow concrete road to which both sides are paddy fields. On the right, a small river stream is flowing which Divya is capturing in this scene. Few locals are working on the fields near the stream. Then at the last, Divya moves the camera towards left to capture the full view. This shot is little stable.",,Vipin,2025-08-12 05:17:14,enriched,pan,wide,daylight,ambient sounds of the bike and nature,serenity,"Divya, riding as a pillion with Vipin on a local Vietnamese bike, captures the serene landscape. Vipin is wearing a khaki jacket and a dark blue helmet with 'Honda' written on it. The road is flanked by paddy fields and a small river stream, where locals are working. The camera pans to the left to reveal the full view of the surroundings, providing a calm and picturesque scene.","{""file_size_bytes"": 25218286, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 7.87166666666667, ""creation_time"": ""2025:08:01 06:02:37"", ""encoder"": ""17.6.1""}",2025-08-01 06:02:37,8,"Shot on 01 Aug 2025, 06:02 AM • 7.84s • pan, daylight • faces: 0
Scene: Hanoi International Airport, ground-floor lower deck. Tags: vehicle, nature. Objects: outerwear, person. OCR: “ONA NSTYLE NON THO TRAN NEW STYLE ON THO…”","This clip is captured by Divya who is sitting as a pillion to Vipin. Vipin is riding a Vietnam local bike and he is wearing a khaki colour jacket and a dark blue helmet at the back of which is written Honda. Divya is capturing towards the right side of Vipin riding on a narrow concrete road to which both sides are paddy fields. On the right, a small river stream is flowing which Divya is capturing in this scene. Few locals are working on the fields near the stream. Then at the last, Divya moves the camera towards left to capture the full view. This shot is little stable.",Vietnam_01,D01,Vietnam_01_D01_0004,,,,,,low,Divya; Vipin; locals,calm,Vipin
IMG_9289.MOV,,video,day-01,23.1,0s,23.100s,0.8288205,"Tamcock Luxury Homestay, Ninbim, Tamcock area",Vipin enters carrying luggage and walks towards the reception,"Tamcock Luxury Homestay, entrance, pavement, limestone mountain, reception, swimming pool, greenery, trees",The clip shows the entrance of Tamcock Luxury Homestay in Ninbim. Vipin is seen carrying luggage and walking towards the reception area. The camera captures the lush greenery and limestone mountain nearby.,"Vipin enters Tamcock Luxury Homestay, walking towards the reception amidst lush greenery.","This clip is shot by Divya and camera movement from down to upwards. It is capturing the entrance of Tamcock Luxury Homestay where we stayed for two nights in Ninbim, Tamcock area. So it captures the entrance board saying luxury homestays. And a local old bike is standing there and a concrete and stone pavement path which goes on to the different huts this homestay has and this is a very green area. Then Vipin comes into frame carrying the luggage (the trolley bag) and he is wearing a khaki jacket and lowers and carrying a backpack. Then he moves on to the pavement towards the reception area. The camera pans out to the top, taking a shot of the limestone mountain just right after this homestay which is looking beautiful. Then the camera moves to the left side where there is a reception area and a cute small swimming pool. On the stone path, there are a lot of trees and different huts, very green and very soothing.",,Vipin,2025-08-12 05:23:02,enriched,pan,establishing,daylight,ambient sounds of nature,serenity,"The video begins with a shot of the entrance to Tamcock Luxury Homestay in Ninbim, featuring a sign for luxury homestays. A local old bike is parked nearby, and a concrete and stone path leads to various huts. Vipin, wearing a khaki jacket and carrying a trolley bag and backpack, walks towards the reception. The camera pans up to reveal a beautiful limestone mountain behind the homestay, then moves left to show the reception area and a small swimming pool. The path is lined with trees, creating a very green and soothing atmosphere.","{""file_size_bytes"": 72969365, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 23.1316666666667, ""creation_time"": ""2025:08:01 06:03:00"", ""encoder"": ""17.6.1""}",2025-08-01 06:03:00,23,"Shot on 01 Aug 2025, 06:03 AM • 23.10s • faces: 0
Tags: tree, resort. Objects: person, person. OCR: “Hotline: 0838.496.862 F Chi Due Miah's L…”","This clip is shot by Divya and camera movement from down to upwards. It is capturing the entrance of Tamcock Luxury Homestay where we stayed for two nights in Ninbim, Tamcock area. So it captures the entrance board saying luxury homestays. And a local old bike is standing there and a concrete and stone pavement path which goes on to the different huts this homestay has and this is a very green area. Then Vipin comes into frame carrying the luggage (the trolley bag) and he is wearing a khaki jacket and lowers and carrying a backpack. Then he moves on to the pavement towards the reception area. The camera pans out to the top, taking a shot of the limestone mountain just right after this homestay which is looking beautiful. Then the camera moves to the left side where there is a reception area and a cute small swimming pool. On the stone path, there are a lot of trees and different huts, very green and very soothing.",Vietnam_01,D01,Vietnam_01_D01_0005,,,,,,low,Vipin,soothing,Divya
IMG_9292.MOV,,video,day-01,11.233333,0s,11.233333s,0.91097105,Tamcock Luxury Homestay entrance,Divya captures the scenery and moves the camera upwards,"Tamcock Luxury Homestay, stone path, huts, limestone mountain, tree, reception area, swimming pool, smooth camera movement","The clip showcases the entrance of Tamcock Luxury Homestay with a stone path leading to huts and a lush green area. A limestone mountain adds to the scenic beauty, and the camera pans to reveal a tree, reception area, and a small swimming pool.","Divya films the entrance of Tamcock Luxury Homestay, highlighting its scenic beauty.","This clip is shot by Divya and it captures the beautiful scenery of the Tamcock Luxury Homestay from the entrance where there is a stone path going towards the beautiful huts and a very green area. Then a gigantic limestone mountain making the scene very beautiful. Divya moves the camera towards the top and on the left side, a very beautiful tree and a reception area along with a beautiful cute small swimming pool. camera movement is smooth",,Vipin,2025-08-12 05:25:42,enriched,pan,establishing,daylight,ambience,serenity,"Divya films the entrance of Tamcock Luxury Homestay, capturing a stone path leading to beautiful huts and a lush green area. The scene includes a gigantic limestone mountain, enhancing the beauty. The camera smoothly moves upwards, revealing a tree, reception area, and a small swimming pool.","{""file_size_bytes"": 36555254, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 11.265, ""creation_time"": ""2025:08:01 06:03:14"", ""encoder"": ""17.6.1""}",2025-08-01 06:03:14,11,"Shot on 01 Aug 2025, 06:03 AM • 11.23s • faces: 0
Tags: plant, resort. Objects: plant, houseplant. OCR: “30 37 ANS 102 $102 487 87 AV A2 33”","This clip is shot by Divya and it captures the beautiful scenery of the Tamcock Luxury Homestay from the entrance where there is a stone path going towards the beautiful huts and a very green area. Then a gigantic limestone mountain making the scene very beautiful. Divya moves the camera towards the top and on the left side, a very beautiful tree and a reception area along with a beautiful cute small swimming pool. camera movement is smooth",Vietnam_01,D01,Vietnam_01_D01_0006,,,,,,low,Divya,,Divya
IMG_9299.MOV,,video,day-01,13.838333,0s,13.838333s,0.66995007,"homestay, in front of the hut",camera moves from right to left capturing the scene,"homestay, hut, lounge chairs, table, stone pathway, night, lights, nature","The clip captures a peaceful night scene at a homestay. The camera moves from right to left, showing the front of the hut, a small green area, another hut, and a stone pathway illuminated by beautiful lights.",A night scene at a homestay with lounge chairs and a stone pathway illuminated by lights.,"This clip is shot by Divya at 6:13 pm, where the sunset has just gone down and it's dark. It captures the night scene of the homestay. It is just shot in front of our hut where we are living and there are two lounge chairs and a table in front of the hut. The camera moves from right to left, capturing the front of the hut, a small green area, another hut, and then moves on to showing the stone pathway at night where beautiful lights are there. It feels very peaceful.",,Vipin,2025-08-12 05:28:28,enriched,pan,wide,night,ambient night sounds,peace,"The clip, shot by Divya at 6:13 pm, captures the night scene of a homestay. It starts in front of the hut where two lounge chairs and a table are placed. The camera moves from right to left, showing the front of the hut, a small green area, another hut, and a stone pathway illuminated by beautiful lights. The atmosphere is peaceful and serene.","{""file_size_bytes"": 44348679, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 13.87, ""creation_time"": ""2025:08:01 06:03:24"", ""encoder"": ""17.6.1""}",2025-08-01 06:03:24,14,"Shot on 01 Aug 2025, 06:03 AM • 13.84s • faces: 0
Tags: tree, nature. Objects: chair, lighting.","This clip is shot by Divya at 6:13 pm, where the sunset has just gone down and it's dark. It captures the night scene of the homestay. It is just shot in front of our hut where we are living and there are two lounge chairs and a table in front of the hut. The camera moves from right to left, capturing the front of the hut, a small green area, another hut, and then moves on to showing the stone pathway at night where beautiful lights are there. It feels very peaceful.",Vietnam_01,D01,Vietnam_01_D01_0007,,,,night,night,low,,calm,Divya
IMG_9303.MOV,,video,day-01,9.774149,0s,9.774149s,,"Hoa Lu Old Town, Ninh Binh",Vipin stands looking at temple buildings and lanterns,"Hoa Lu Old Town, Ninh Binh, Vietnamese lanterns, temple buildings, pond, night","The clip captures a serene night scene in Hoa Lu Old Town, Ninh Binh. Vipin is seen admiring the beautifully lit temple buildings and traditional Vietnamese lanterns reflecting on a pond.",Night scene in Hoa Lu Old Town with Vipin admiring lanterns and temple buildings.,This clip is shot by Divya in the night when we visited Hoa Lu Old town in Ninh Binh. Camera is moving from right to left just as the shot is starting beside the tree on which a couple of lanterns were hung in a beautiful light. Traditional Vietnamese lanterns overlooking a small pond or a river stream (I am not sure). There you can see a couple of temple buildings lit by LED lights and their reflexion on the water is looking so pretty. Vipin is standing there looking at those temple buildings and so many lanterns were hung alongside the pond boundary on the trees and a cute pathway to just walk around and feel the vibe.,,Vipin,2025-08-12 05:42:23,enriched,pan,wide,night,ambient night sounds,serenity,"The video, shot by Divya, captures a night scene in Hoa Lu Old Town, Ninh Binh. The camera pans from right to left, starting beside a tree adorned with lanterns. Vipin is seen standing by a pond, observing the LED-lit temple buildings and numerous lanterns hanging along the pond's boundary. The reflections on the water create a picturesque view.","{""file_size_bytes"": 30763519, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 9.79833333333333, ""creation_time"": ""2025:08:01 06:03:38"", ""encoder"": ""17.6.1""}",2025-08-01 06:03:38,10,"Shot on 01 Aug 2025, 06:03 AM • 9.77s • faces: 0",This clip is shot by Divya in the night when we visited Hoa Lu Old town in Ninh Binh. Camera is moving from right to left just as the shot is starting beside the tree on which a couple of lanterns were hung in a beautiful light. Traditional Vietnamese lanterns overlooking a small pond or a river stream (I am not sure). There you can see a couple of temple buildings lit by LED lights and their reflexion on the water is looking so pretty. Vipin is standing there looking at those temple buildings and so many lanterns were hung alongside the pond boundary on the trees and a cute pathway to just walk around and feel the vibe.,Vietnam_01,D01,Vietnam_01_D01_0008,,ninh binh,vietnam,night,night,low,Vipin,,Divya
IMG_9304.MOV,,video,day-01,11.733333,0s,11.733333s,0.87683374,"Hoa Lu Old town, Ninh Binh",camera moves from right to left capturing lanterns and temple buildings,"Hoa Lu Old town, Ninh Binh, lanterns, temple buildings, pond, night, music, reflection","The clip captures a serene night scene at Hoa Lu Old town in Ninh Binh. Lanterns hang from trees, reflecting beautifully on a pond. Vipin stands admiring the lit temple buildings.",Night scene at Hoa Lu Old town with lanterns and temple reflections.,"This clip is shot by Divya in the night when we visited Hoa Lu Old town in Ninh Binh. Camera is moving from right to left just as the shot is starting beside the tree on which a couple of lanterns were hung in a beautiful light. Traditional Vietnamese lanterns overlooking a small pond or a river stream (I am not sure). There you can see a couple of temple buildings lit by LED lights and their reflexion on the water is looking so pretty. Vipin is standing there looking at those temple buildings and so many lanterns were hung alongside the pond boundary on the trees and a cute pathway to just walk around and feel the vibe. 

This clip is more stable and you can hear the music played in the background on a street. This clip is more clear. A close-up shot of the tree and the building in the background on an island on the pond.",,Vipin,2025-08-12 05:45:03,enriched,pan,close,night,background street music,serenity,"Shot by Divya at night in Hoa Lu Old town, Ninh Binh, the camera pans from right to left. Lanterns hang from trees, casting reflections on a pond. Vipin is seen admiring the temple buildings lit by LED lights. The scene is accompanied by street music, enhancing the serene atmosphere.","{""file_size_bytes"": 37067654, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 11.765, ""creation_time"": ""2025:08:01 06:03:51"", ""encoder"": ""17.6.1""}",2025-08-01 06:03:51,12,"Shot on 01 Aug 2025, 06:03 AM • 11.73s • faces: 0
Tags: evening, reflection. Objects: lighting, lighting. OCR: “OATE”","This clip is shot by Divya in the night when we visited Hoa Lu Old town in Ninh Binh. Camera is moving from right to left just as the shot is starting beside the tree on which a couple of lanterns were hung in a beautiful light. Traditional Vietnamese lanterns overlooking a small pond or a river stream (I am not sure). There you can see a couple of temple buildings lit by LED lights and their reflexion on the water is looking so pretty. Vipin is standing there looking at those temple buildings and so many lanterns were hung alongside the pond boundary on the trees and a cute pathway to just walk around and feel the vibe. 

This clip is more stable and you can hear the music played in the background on a street. This clip is more clear. A close-up shot of the tree and the building in the background on an island on the pond.",Vietnam_01,D01,Vietnam_01_D01_0009,,ninh binh,vietnam,night,night,low,Vipin,,Divya
IMG_9305.MOV,,video,day-01,10.633333,0s,10.633333s,0.9201774,"Hoa Lu Old Town, Ninh Binh",Vipin observes temple buildings and lanterns,"hoa lu, ninh binh, temple, lanterns, pond, night, led lights, reflection","In the serene night at Hoa Lu Old Town, Vipin stands by a pond, admiring the temple buildings lit by LED lights. Lanterns hang along the pond's boundary, creating a peaceful atmosphere.",Vipin observes temple buildings and lanterns at night in Hoa Lu Old Town.,"This clip is shot by Divya in the night when we visited Hoa Lu Old town in Ninh Binh. Camera is moving from right to left just as the shot is starting with a view of a small pond or a river stream (I am not sure). There you can see a couple of temple buildings on a small island kind lit by LED lights and their reflexion on the water is looking so pretty. Vipin is standing there looking at those temple buildings and so many lanterns were hung alongside the pond boundary on the trees and a cute pathway to just walk around and feel the vibe. 

This clip is stable and you can hear the music played in the background on a street. This clip is more clear.",,Vipin,2025-08-12 05:48:22,enriched,pan,wide,night,background street music,serenity,"The clip, shot by Divya, captures a night scene in Hoa Lu Old Town, Ninh Binh. The camera moves from right to left, revealing a small pond or river stream with temple buildings on a lit island. Vipin stands by, taking in the view of the LED-lit temples and lanterns hanging along the pond. Background music from the street adds to the serene atmosphere.","{""file_size_bytes"": 33434295, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 10.665, ""creation_time"": ""2025:08:01 06:04:01"", ""encoder"": ""17.6.1""}",2025-08-01 06:04:01,11,"Shot on 01 Aug 2025, 06:04 AM • 10.63s • faces: 0
Tags: reflection, lighting. Objects: building, building. OCR: “Viet vietio LAN HOT O”","This clip is shot by Divya in the night when we visited Hoa Lu Old town in Ninh Binh. Camera is moving from right to left just as the shot is starting with a view of a small pond or a river stream (I am not sure). There you can see a couple of temple buildings on a small island kind lit by LED lights and their reflexion on the water is looking so pretty. Vipin is standing there looking at those temple buildings and so many lanterns were hung alongside the pond boundary on the trees and a cute pathway to just walk around and feel the vibe. 

This clip is stable and you can hear the music played in the background on a street. This clip is more clear.",Vietnam_01,D01,Vietnam_01_D01_0010,,ninh binh,vietnam,night,night,low,Vipin,,Divya
